#Release 13.2 - par O.61xd (nt)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Wed Oct 17 10:30:53 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       i8051_top_map.ncd
#OUTPUT FILE:      i8051_top_pad.csv
#PART TYPE:        xc3s400a
#SPEED GRADE:      -4
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,PROG_B,,,,,,,,,,,,
A3,,DIFFMTB,IO_L19P_0,UNUSED,,0,,,,,,,,,
A4,,DIFFMTB,IO_L18P_0,UNUSED,,0,,,,,,,,,
A5,,DIFFMTB,IO_L17P_0,UNUSED,,0,,,,,,,,,
A6,,DIFFMTB,IO_L15P_0,UNUSED,,0,,,,,,,,,
A7,,DIFFMTB,IO_L13P_0,UNUSED,,0,,,,,,,,,
A8,,DIFFMTB,IO_L12P_0/GCLK10,UNUSED,,0,,,,,,,,,
A9,,DIFFSTB,IO_L10N_0/GCLK7,UNUSED,,0,,,,,,,,,
A10,,DIFFSTB,IO_L08N_0,UNUSED,,0,,,,,,,,,
A11,,DIFFSTB,IO_L07N_0,UNUSED,,0,,,,,,,,,
A12,,DIFFSTB,IO_L05N_0,UNUSED,,0,,,,,,,,,
A13,,DIFFSTB,IO_L04N_0,UNUSED,,0,,,,,,,,,
A14,,DIFFMTB,IO_L04P_0,UNUSED,,0,,,,,,,,,
A15,,,TCK,,,,,,,,,,,,
A16,,,GND,,,,,,,,,,,,
B1,,,TDI,,,,,,,,,,,,
B2,,,TMS,,,,,,,,,,,,
B3,p2_out<0>,IOB,IO_L19N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B4,p2_out<4>,IOB,IO_L18N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B5,,,VCCO_0,,,0,,,,,2.50,,,,
B6,,DIFFSTB,IO_L15N_0,UNUSED,,0,,,,,,,,,
B7,,,GND,,,,,,,,,,,,
B8,,DIFFSTB,IO_L12N_0/GCLK11,UNUSED,,0,,,,,,,,,
B9,,,VCCO_0,,,0,,,,,2.50,,,,
B10,,DIFFMTB,IO_L08P_0,UNUSED,,0,,,,,,,,,
B11,,,GND,,,,,,,,,,,,
B12,,DIFFMTB,IO_L05P_0,UNUSED,,0,,,,,,,,,
B13,,,VCCO_0,,,0,,,,,2.50,,,,
B14,,DIFFSTB,IO_L02N_0,UNUSED,,0,,,,,,,,,
B15,,DIFFMTB,IO_L02P_0/VREF_0,UNUSED,,0,,,,,,,,,
B16,,,TDO,,,,,,,,,,,,
C1,,DIFFSLR,IO_L01N_3,UNUSED,,3,,,,,,,,,
C2,,DIFFMLR,IO_L01P_3,UNUSED,,3,,,,,,,,,
C3,,,GND,,,,,,,,,,,,
C4,,DIFFMTB,IO_L20P_0/VREF_0,UNUSED,,0,,,,,,,,,
C5,p2_out<5>,IOB,IO_L17N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C6,,DIFFSTB,IO_L16N_0,UNUSED,,0,,,,,,,,,
C7,,DIFFSTB,IO_L13N_0,UNUSED,,0,,,,,,,,,
C8,,DIFFMTB,IO_L11P_0/GCLK8,UNUSED,,0,,,,,,,,,
C9,,DIFFMTB,IO_L10P_0/GCLK6,UNUSED,,0,,,,,,,,,
C10,,DIFFMTB,IO_L09P_0/GCLK4,UNUSED,,0,,,,,,,,,
C11,,DIFFMTB,IO_L07P_0,UNUSED,,0,,,,,,,,,
C12,,DIFFMTB,IO_L03P_0,UNUSED,,0,,,,,,,,,
C13,,DIFFSTB,IO_L01N_0,UNUSED,,0,,,,,,,,,
C14,,,GND,,,,,,,,,,,,
C15,,DIFFSLR,IO_L24N_1/A25,UNUSED,,1,,,,,,,,,
C16,,DIFFMLR,IO_L24P_1/A24,UNUSED,,1,,,,,,,,,
D1,p1_out<2>,IOB,IO_L03P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D2,,,VCCO_3,,,3,,,,,2.50,,,,
D3,p1_out<1>,IOB,IO_L02N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D4,p3_out<3>,IOB,IO_L02P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
